Race,Lap,Position,Overtaker,Overtaken,Live,Turn
Bahrain,13,18,Alonso,Latifi,,11
Bahrain,14,14,Alonso,Hulkenberg,,4
Bahrain,14,15,Alonso,Norris,,1
Bahrain,14,19,Schumacher,Albon,Yes,8
Bahrain,15,9,Magnussen,Stroll,Yes,4
Bahrain,15,11,Alonso,Gasly,Yes,8
Bahrain,16,8,Gasly,Alonso,,1
Bahrain,16,9,Gasly,Stroll,,1
Bahrain,16,9,Alonso,Stroll,,4
Bahrain,16,11,Ocon,Hulkenberg,,1
Bahrain,16,12,Ocon,Norris,,4
